CID;Nome do CID;Frequência;Significado Completo;Comorbidades Relacionadas
5C78;Sobrecarga de líquidos;13;Esta é a condição em que há muito líquido no sangue. A condição oposta é a hipovolemia, que é um volume de líquido insuficiente no sangue. O excesso de volume de líquido no compartimento intravascular ocorre devido ao aumento do teor de sódio total corporal e consequente aumento da água corporal extracelular. O mecanismo geralmente decorre de mecanismos regulatórios comprometidos para o manuseio de sódio, conforme observado na insuficiência cardíaca congestiva (ICC), na insuficiência renal e na insuficiência hepática. Também pode ser causado pela ingestão excessiva de sódio dos alimentos, soluções intravenosas e transfusões de sangue, medicamentos ou contrastes para exames de imagem.;MF95 - Mioglobinúria (2x) | EB13.0 - Síndrome de Stevens-Johnson (2x) | BD10 - Insuficiência cardíaca congestiva (2x)
8B24;Encefalopatia hipóxico-isquêmica;12;"Dano cerebral devido à hipóxia-isquemia: o termo anterior ""Dano cerebral anóxico"" foi alterado. O novo termo é agora amplamente aceito e descreve melhor a fisiopatologia, ou seja, a combinação de isquemia cerebral global transitória completa e incompleta juntamente com uma combinação de anóxia e hipóxia. Em um paciente sobrevivente, a encefalopatia anóxica pura é muito incomum.";8B22 - Algumas doenças cerebrovasculares especificadas (2x) | 6E40.2 - Traços de personalidade ou estilos de enfrentamento afetando transtornos ou doenças classificados em outra parte (1x) | Z93.9 - N/A (1x)
MG30.2;Dor crônica pós-operatória ou pós-traumática;12;Dor crônica pós-cirúrgica ou pós-traumática é uma dor que se desenvolve ou aumenta de intensidade após um procedimento cirúrgico ou lesão tecidual (envolvendo qualquer traumatismo, incluindo queimaduras) e que persiste além do processo de cicatrização, ou seja, por pelo menos 3 meses após a cirurgia ou traumatismo tecidual. A dor é localizada no na região operada ou na área da lesão, na projeção do território de inervação de um nervo situado nesta área, ou referida a um dermátomo (após cirurgia/lesão de tecidos somáticos ou viscerais profundos). Outras causas de dor, incluindo infecção, malignidade, etc., precisam ser excluídas, bem como a dor persistente de um problema preexistente.;NE81.0Z - Hemorragia ou hematoma de outro localização ou não especificada, complicando um procedimento, não classificado em outra parte (1x) | BD71.2 - Trombose da veia renal (1x) | CA23.21 - Broncoespasmo induzido pelo exercício (1x)
BD10;Insuficiência cardíaca congestiva;12;Síndrome clínica caracterizada por anormalidades da função ventricular e da regulação neuro-hormonal que são acompanhadas por intolerância ao esforço e retenção de líquidos.;BC43.7 - Cardiomiopatia diabética (4x) | 5C78 - Sobrecarga de líquidos (2x) | VV3Y - Outras funções dos sistemas cardiovascular, hematológico, imunológico e respiratório, especificadas (2x)
BA41;Infarto agudo do miocárdio;12;"O termo infarto do miocárdio (IM) agudo deve ser usado quando há evidência de necrose miocárdica em um contexto clínico consistente com isquemia miocárdica aguda. Nessas condições, qualquer um dos critérios a seguir atende ao diagnóstico de IM; 
Detecção de aumento e/ou queda de valores de biomarcadores cardíacos com pelo menos um valor acima do 99º percentil do limite de referência superior e com pelo menos um dos seguintes; 
a. Sintomas de isquemia. 
b. Novas ou supostamente novas alterações significativas de segmento ST-onda T (ST-T) ou novo bloqueio de ramo esquerdo (BRE) no eletrocardiograma (ECG). 
c. Desenvolvimento de ondas Q patológicas no eletrocardiograma (ECG). 
d. Evidência em exame de imagem de nova perda de miocárdio viável ou nova anormalidade de movimento de parede regional. 
e. Identificação de um trombo intracoronário por angiografia ou autópsia. 


Infarto de qualquer localização do miocárdio, ocorrendo dentro de 4 semanas (28 dias) a partir do início de um infarto anterior (OMS)";CA22.0 - Doença pulmonar obstrutiva crônica com exacerbação aguda, não especificada (2x) | BA01 - Doença cardíaca hipertensiva (2x) | BA40.Y - Outra angina pectoris especificada (2x)
BC43.0;Cardiomiopatia dilatada;11;"Cardiomiopatia dilatada é um transtorno do miocárdio no qual há disfunção sistólica e dilatação da câmara de um ou ambos os ventrículos na ausência de uma causa hemodinâmica que possa produzir a dilatação e disfunção existentes, incluindo causas fisiológicas (como sepse) ou anatômicas seja com condições anormais de carga (como coarctação da aorta) ou isquemia (como doença arterial coronariana ou anomalias). 

Informações adicionais: Condições fisiológicas e anatômicas podem afetar o fenótipo morfofuncional da cardiomiopatia dilatada. Se este fenótipo morfofuncional for mantido após intervenção apropriada, então uma cardiomiopatia dilatada está estabelecida.";BA51 - Miocardiopatia isquêmica (5x) | BA01 - Doença cardíaca hipertensiva (2x) | FA22 - Polimialgia reumática (2x)
BD71.2;Trombose da veia renal;10;Trombose venosa na veia renal;3A71.2 - Anemia na doença renal crônica (2x) | NE81.0Z - Hemorragia ou hematoma de outro localização ou não especificada, complicando um procedimento, não classificado em outra parte (1x) | MG30.2 - Dor crônica pós-operatória ou pós-traumática (1x)
8B22;Algumas doenças cerebrovasculares especificadas;9;"Outras anormalidades especificadas de artérias ou veias intracranianas ou extracranianas. As entidades nesta seção podem ser usadas em combinação com outros códigos de diagnóstico neste bloco. Várias das entidades podem causar diferentes tipos de doença cerebrovascular, como AIT, acidente vascular cerebral isquêmico ou hemorragia intracerebral; podem estar associadas a outras síndromes clínicas; ou podem ser assintomáticas (não ter causado disfunção focal aguda do cérebro).

A seção sobre malformações vasculares intracranianas foi bastante revisada em comparação com a CID-10, com base nos principais avanços científicos neste campo.

As síndromes de vasoconstrição cerebral e a encefalopatia reversível posterior são consideradas entidades separadas (visto que a vasoconstrição nem sempre está presente na última).

""Leucoencefalopatia vascular progressiva (doença de Binswanger)"" foi removida como uma entidade separada.";8B24 - Encefalopatia hipóxico-isquêmica (2x) | 6E61 - Síndrome psicótica secundária (2x) | 9A94.1 - Síndrome da íris flácida (1x)
FA22;Polimialgia reumática;9;A polimialgia reumática (PMR) é uma síndrome caracterizada por dores nas porções proximais das extremidades e do tronco. Os critérios de classificação provisórios para PMR pela European League Against Rheumatism / American College of Rheumatology Collaborative Initiative devem ser aplicados em pacientes com 50 anos ou mais com dor nos ombros bilateral e PCR e / ou VHS anormais. O algoritmo de pontuação é baseado na rigidez matinal> 45 minutos (2 pontos), dor / amplitude de movimento limitada no quadril (1 ponto), ausência de fator reumatoide e / ou anticorpo anti-proteína citrulinada (1 ponto), com critério de ultrassom opcional. Mais comumente, a PMR ocorre de forma isolada, mas pode ser observada em 40-50% dos pacientes com arterite de células gigantes.;BD52.71 - Dilatação adquirida da aorta ascendente ou da raiz (2x) | BC43.0 - Cardiomiopatia dilatada (2x) | DA21.20 - Peristaltismo hipertensivo (2x)
CB00;Síndrome do desconforto respiratório agudo;9;Síndrome do desconforto respiratório agudo (SDRA) é uma inflamação e edema nos pulmões com risco de vida iminente, que leva a insuficiência respiratória aguda grave. A SDRA é uma síndrome clínica de lesão pulmonar com insuficiência respiratória aguda hipoxêmica causada por intensa inflamação pulmonar que se desenvolve após lesão fisiopatológica grave.;CA22.0 - Doença pulmonar obstrutiva crônica com exacerbação aguda, não especificada (3x) | CB60 - Mau funcionamento de traqueostomia (1x) | CB03.1 - Combinação de fibrose pulmonar e enfisema (1x)
FA25;Gota;9;Gota é uma artropatia aguda ou crônica resultante de deposição de cristais de urato monossódico mono-hidratado em tecidos articulares. Apresenta forte associação com hiperuricemia, que pode ser secundária a alguns medicamentos, substancias tóxicas ou transtornos linfoproliferativos. O diagnóstico de gota é definitivo pela demonstração de cristais de urato no líquido sinovial aspirado na ausência de uma etiologia alternativa para artrite. Pode estar associada à deposição focal de urato na pele e tecido subcutâneo (gota tofácea) e com nefropatia por cristais de urato.;BA02 - Doença renal hipertensiva (3x) | LB30.4 - Oligomeganefronia (2x) | GB40 - Síndrome nefrítica (2x)
9A94.1;Síndrome da íris flácida;9;Complicação que pode ocorrer durante a extração da catarata em alguns pacientes. Esta síndrome é caracterizada por uma íris flácida que ondula em resposta a correntes ordinárias do fluido intraocular, uma propensão para esta íris flácida prolapsar em direção à área de extração de catarata durante a cirurgia e constrição progressiva da pupila no intraoperatório, apesar dos procedimentos padrão para prevenir isso.;9A10.3 - Hiperlacrimação (2x) | 9B10.02 - Catarata relacionada à idade madura (2x) | CB21.1 - Outro pneumotórax espontâneo (2x)
MF56;Cólica renal;9;Dor paroxística intensa no flanco com irradiação para a virilha, escroto ou grandes lábios, causada por bloqueio da pelve renal ou do ureter, mais comumente por cálculo renal. Pode estar associada a náuseas e vômitos.;BD53.4 - Ateroembolismo de colesterol (2x) | MF95 - Mioglobinúria (2x) | 4A85.01 - Hipersensibilidade renal induzida por droga (2x)
BC43.7;Cardiomiopatia diabética;8;"Cardiomiopatia diabética é a presença de disfunção miocárdica na ausência de doença arterial coronariana clínica evidente, doença valvar e outros fatores de risco cardiovascular convencionais, como hipertensão e dislipidemia. Caracteriza-se inicialmente por fibrose miocárdica, remodelamento disfuncional e disfunção diastólica, evoluindo para disfunção sistólica e insuficiência cardíaca. 

Informações adicionais. O desenvolvimento e a progressão de cardiomiopatia diabética têm sido associados ao comprometimento da sinalização metabólica da insulina no coração, aumento do estresse oxidativo, redução da biodisponibilidade do óxido nítrico, rigidez da matriz extracelular e dos cardiomiócitos a base de colágeno, comprometimento do manuseio do cálcio por mitocôndrias e cardiomiócitos, inflamação, ativação do sistema renina-angiotensina-aldosterona, neuropatia autonômica cardíaca, estresse do retículo endoplasmático, disfunção microvascular e uma miríade de anormalidades metabólicas cardíacas.";BD10 - Insuficiência cardíaca congestiva (4x) | 9B10.21 - Catarata diabética (2x) | XM1M61 - Ganciclovir (1x)
ME01;Distensão abdominal;8;Esta é uma condição em que o abdômen parece cheio e tenso por causa do inchaço do abdômen, geralmente devido a um aumento da quantidade de gases intestinais, mas ocorre às vezes quando fluidos, substâncias ou massa estão se acumulando ou se expandindo no abdômen.;MD81 - Dor abdominal ou pélvica (1x) | DC34 - Pancreatite obstrutiva (1x) | DA60.3 - Úlceras de estresse do estômago (1x)
BD93;Linfedema;8;Edema devido ao acúmulo excessivo de linfa nos tecidos, causado por drenagem linfática inadequada. Geralmente afeta as extremidades, mas pode envolver qualquer parte do corpo. É desfigurante e aumenta a suscetibilidade a infecções recorrentes e malignidades locais.;BA01 - Doença cardíaca hipertensiva (1x) | NB61 - Concussão ou edema da medula espinhal sacral (1x) | 6B60.82 - Transtorno de sintoma neurológico dissociativo, com tremor (1x)
MD81;Dor abdominal ou pélvica;8;Dor, uma sensação desagradável de desconforto ocorrendo em variados graus de intensidade, recebida pelas terminações nervosas na região abdominal e pélvica.;EE12.1 - Onicomicose (1x) | ME01 - Distensão abdominal (1x) | I26.9 - N/A (1x)
BC63.3;Bloqueio de ramo direito;7;Transtorno do sistema de condução atrioventricular caracterizado por duração prolongada do QRS (maior ou igual a 120 ms em adultos, maior que 100 ms em crianças de 4 a 16 anos e maior que 90 ms em crianças menores de 4 anos), rsr , rsR ou rSR nas derivações V1 ou V2, onda S de duração maior do que a onda R (ou maior que 40 ms nas derivações I e V6 em adultos);8A63.01 - Crise epiléptica febril complexa (1x) | BC00.0T7Z0YA0 - N/A (1x) | BB63.1 - Estenose mitral não reumática com insuficiência (1x)
9A10.3;Hiperlacrimação;7;"Transbordamento de lágrimas devido a secreção excessiva pela glândula lacrimal. Pode ser causado por drogas (p.ex. pillocarpina), forte emoção; ou como reflexo de estimulação trigeminal por inflamação ocular; ou irritação da córnea ou conjuntiva por irritante químico no ar; vento frio; ou corpo estranho no olho. Os principais sintomas são desconforto e visão turva e algumas vezes constrangimento. A abordagem depende da causa.


. É um sinal clínico ou condição que aponta para a drenagem insuficiente do filme lacrimal dos olhos, em que as lágrimas vão drenar pela face abaixo em vez de o fazerem pelo sistema nasolacrimal.";9A94.1 - Síndrome da íris flácida (2x) | 9C61.22 - Glaucoma secundário de ângulo aberto induzido pelo cristalino (2x) | 9B10.02 - Catarata relacionada à idade madura (2x)
8C84;Rabdomiólise secundária;7;Rabdomiólise secundária ocorre quando o efeito primário de um fator etiológico resulta em um estado funcional ou bioquímico que conduz ao desenvolvimento de alterações isquêmicas, degenerativas, necróticas ou desestabilizadoras da membrana no músculo, produzindo as manifestações clínicas e bioquímicas de rabdomiólise. Mais frequentemente, a rabdomiólise é secundária a um desequilíbrio metabólico, muitas vezes de natureza genética, como resultado de movimento anormalmente excessivo, tensão isométrica excessiva por tentativa de movimento contra resistência, ou coma levando a aumento de pressão, isquemia, hipóxia e necrose intramusculares. A rabdomiólise secundária também pode ser causada por uma mutação em vários genes (RYR1, LPIN).;MF95 - Mioglobinúria (2x) | 5B81.0 - Obesidade devido a desequilíbrio energético (2x) | 9B02.0 - Pupila de Argyll Robertson (1x)
ND36;Outros traumatismos envolvendo regiões múltiplas do corpo, não classificados em outra parte;7;;7A42.4 - Hipoventilação relacionada ao sono devida a medicamento ou substância (1x) | BD10 - Insuficiência cardíaca congestiva (1x) | MG30.2 - Dor crônica pós-operatória ou pós-traumática (1x)
VV3Y;Outras funções dos sistemas cardiovascular, hematológico, imunológico e respiratório, especificadas;7;;BD10 - Insuficiência cardíaca congestiva (2x) | BA51 - Miocardiopatia isquêmica (2x) | BC43.6 - Cardiomiopatia ventricular arritmogênica (1x)
CA23.00;Asma alérgica com exacerbação;7;Refere-se a episódios agudos ou subagudos de piora progressiva de falta de ar, tosse, chieira, aperto no peito, ou alguma combinação desses sintomas, em um paciente com asma alérgica comprovada. Asma alérgica pode ser exacerbada por alérgenos aos quais o indivíduo é alérgico, outros fatores exógenos como infecção respiratória, poluentes ou mudança climática, ou cofatores endógenos. Exacerbações são caracterizadas por redução do fluxo expiratório que pode ser documentado e quantificado por medidas simples de função pulmonar (espirometria ou PFE), podem variar amplamente entre indivíduos e nos mesmos indivíduos de raras a frequentes. A gravidade das exacerbações de asma alérgica podem variar de leves a muito graves e ameaçadoras da vida, mas em geral respondem a tratamentos padrão com broncodilatadores (inalatórios) e esteroide.;MF95 - Mioglobinúria (2x) | 5B81.0 - Obesidade devido a desequilíbrio energético (2x) | 5D40 | Definição: Representação de doença CID-11: Hipotireoidismo pós-procedimento. - N/A (1x)
FA80.8;Degeneração de disco intervertebral da coluna lombar sem prolapso de disco;7;;8C80 - Miopatia induzida por drogas (1x) | HA01.1 - Disfunção erétil do homem (1x) | 5C50.10 - Alcaptonúria (1x)
MD22;Hemoptise;6;Expectoração ou cuspe de sangue originário de qualquer parte do trato respiratório, usualmente resultado de hemorragia no parênquima pulmonar e artérias bronquiais.;Z22.7 - N/A (1x) | CC/HA0.00.00 - N/A (1x) | 2B62.1Z - Neoplasias malignas da amígdala lingual, não especificadas (1x)
CB27;Derrame pleural;6;Presença de líquido na cavidade pleural, resultante de transudação ou exsudação excessivas a partir das superfícies pleurais.;CB21.1 - Outro pneumotórax espontâneo (2x) | BA51 - Miocardiopatia isquêmica (1x) | BA40.Y - Outra angina pectoris especificada (1x)
6C48.2;Intoxicação por cafeína;6;Intoxicação por cafeína é uma condição transitória clinicamente significativa, que se desenvolve durante ou logo após o consumo de cafeína, caracterizada por perturbações em consciência, cognição, percepção, afeto, comportamento ou coordenação. Essas perturbações são causadas pelos efeitos farmacológicos conhecidos da cafeína e sua intensidade está intimamente relacionada à quantidade de cafeína consumida. Têm duração limitada, e diminuem à medida que a cafeína é eliminada do corpo. A apresentação pode incluir inquietação, ansiedade, excitação, insônia, rubor facial, taquicardia, diurese, alterações gastrointestinais, espasmos musculares, agitação psicomotora, sudorese ou calafrios, náusea ou vômitos. Arritmias cardíacas podem ocorrer. Distúrbios típicos de intoxicação tendem a ocorrer com doses relativamente elevadas (p.ex., > 1g por dia). Doses muito elevadas de cafeína (p.ex., > 5g) podem resultar em dificuldades respiratórias ou convulsões e podem ser fatais.;5C78 - Sobrecarga de líquidos (2x) | ND56.Z - Traumatismo de região não especificada do corpo, não especificado (1x) | MB23.0 - Comportamento agressivo (1x)
MB23.H;Crise de pânico;6;Episódio distinto de medo ou apreensão intensos, acompanhado pelo início súbito e simultâneo de uma série de sintomas característicos. Esses sintomas podem incluir, mas não estão limitados a, palpitações ou aumento da frequência cardíaca, sudorese, tremores, sensação de falta de ar, sensação de asfixia, dor no peito, náusea ou desconforto abdominal, tontura ou sensação de desmaio, calafrios ou ondas de calor, formigamento ou falta de sensação de extremidades (i.e., parestesias), despersonalização ou desrealização, medo de perder o controle ou enlouquecer e medo de morte iminente. Os ataques de pânico podem aparecer sem motivo aparente ou podem ser desencadeados por situações específicas.;BC81.2 - Taquicardia atrial macrorreentrante (2x) | 5A02.6 - Hipertireoidismo secundário (1x) | BC81.30 - Fibrilação atrial paroxística (1x)
5B5A.0;Beribéri;6;"O quadro clínico do beribéri é geralmente dividido em tipo seco (neurítico) e tipo úmido (cardíaco). A doença é úmida ou seca dependendo da quantidade de líquido que se acumula no corpo devido a fatores como função cardíaca, lesões renais e outros; mesmo que a causa exata deste edema nunca tenha sido explicada com sucesso. Muitos casos de deficiência de tiamina mostram uma mistura das duas características principais e são mais apropriadamente denominados deficiência de tiamina com cardiopatia e neuropatia periférica. O bebê mostra sinais de cianose e pode ocorrer um ataque cardíaco agudo, geralmente morrendo em 2 a 4 horas. A idade comum para essa forma de doença por deficiência é de um mês até o terceiro mês. Esse tipo de deficiência responde de forma muito dramática à tiamina.";BC81.30 - Fibrilação atrial paroxística (3x) | 6C45.3 - Intoxicação por cocaína (1x) | BC43.6 - Cardiomiopatia ventricular arritmogênica (1x)
GB50;Nefrite túbulo-intersticial aguda;6;Doença caracterizada por inflamação aguda dos, e dano aos, túbulos e interstício renal, geralmente acompanhada por insuficiência renal aguda (lesão renal aguda). A histologia mostra infiltrado inflamatório agudo no interstício com edema e necrose de células tubulares, e frequentemente eosinófilos e plasmócitos proeminentes. Geralmente devida a uma reação alérgica ou imunológica a um alérgeno identificável. Geralmente acompanhada por insuficiência renal aguda, que pode ser reversível se o alérgeno for retirado rapidamente com ou sem administração de corticosteroides. Pode causar nefrite tubulointersticial crônica, particularmente se a exposição ao alérgeno não for de curto prazo. Pode estar associada a outros sinais de uma reação alérgica, como erupção cutânea ou febre.;NA02.0 - Fratura da caixa craniana (1x) | BA03 - Crise hipertensiva (1x) | MF95 - Mioglobinúria (1x)
DB10.0;Apendicite aguda;5;Inflamação aguda e aumento do apêndice vermiforme. Foi reconhecida como uma das causas mais comuns de dor abdominal aguda grave em todo o mundo. A maioria dos casos requer tratamento médico adequado ou remoção do apêndice inflamado. Se não tratada, a mortalidade é alta, principalmente pelo risco de ruptura levando a peritonite e choque. Nesta categoria, está incluída apenas a apendicite aguda devida a infecção bacteriana comum, sendo descartada a apendicite devida a organismos específicos está excluída desta entidade e descrita em outra parte.;8D60.1 - Edema cerebral (1x) | NA06.1 - Ferimento penetrante da órbita ocular com ou sem corpo estranho (1x) | 9B02.0 - Pupila de Argyll Robertson (1x)
BD52.71;Dilatação adquirida da aorta ascendente ou da raiz;5;Aumento do diâmetro luminal da aorta entre a junção ventrículo-aórtica e a origem do primeiro ramo braquiocefálico acima do limite superior do normal ajustado para o tamanho do corpo que se desenvolve após o nascimento;BA01 - Doença cardíaca hipertensiva (2x) | FA22 - Polimialgia reumática (2x) | CA22.0 - Doença pulmonar obstrutiva crônica com exacerbação aguda, não especificada (2x)
ME64;Sinais vasculares cutâneos não específicos;5;Alterações perceptíveis na pele resultantes de alterações na composição do sangue, fluxo sanguíneo ou integridade dos vasos sanguíneos. Podem ser devidas a fatores locais ou podem indicar transtornos subjacentes, como anemia, hipovolemia, febre, hipóxia ou defeitos na coagulação.;BD52.71 - Dilatação adquirida da aorta ascendente ou da raiz (1x) | CA22.0 - Doença pulmonar obstrutiva crônica com exacerbação aguda, não especificada (1x) | BD74.1 - Varizes de membros inferiores (1x)
8D8A.2;Anisocoria episódica;5;Este é um grupo de transtornos em que movimentos pupilares periódicos levam a mudanças de tamanho. Isso ocorre devido ao tônus parassimpático ou simpático anormal.;9B01.1 - Pupilas parassimpatoparéticas (1x) | 6C45.3 - Intoxicação por cocaína (1x) | VV3Y - Outras funções dos sistemas cardiovascular, hematológico, imunológico e respiratório, especificadas (1x)
5B70;Deficiência de ácidos graxos essenciais;5;A deficiência de ácidos graxos essenciais - AGE- (ácido linoléico, ácido linolênico, ácido araquidônico, ácido docosapentaenóico, ácido docosahexaenóico e ácido eicosapentaenóico) pode ser causada por ingestão deficiente, particularmente, em bebês de crescimento rápido (como prematuros), em pacientes recebendo nutrição parenteral sem uma fonte adequada de AGE, e em doenças com má absorção de gordura. Os achados clínicos são: dermatite, alopecia e trombocitopenia. O papel do AGE durante a gravidez e a lactação tem sido destacado, e o papel dos ácidos graxos n-3 de cadeia longa como componentes estruturais para o desenvolvimento da função da retina e do sistema nervoso central é agora aceito. O período pré-natal é um período de risco aumentado para deficiência de ômega-3, pois os estoques de tecido materno tendem a diminuir à medida que são usados ​​para o desenvolvimento do feto. A deficiência de n-3 AGE pode afetar o crescimento e a função cognitiva e visual em bebês. Os sinais característicos de deficiência atribuídos aos ácidos graxos n-6 são erupção cutânea escamosa, aumento da perda de água transepidérmica, crescimento reduzido e elevação da proporção plasmática de ácido eicosatrienóico: ácido araquidônico. A deficiência de AGE em populações especiais tem sido associada a distúrbios hematológicos e diminuição da resposta imunológica. Os ácidos graxos n-3 e n-6 de cadeia longa são nutrientes essenciais e também, como parte do suprimento geral de gordura, podem afetar a prevalência e a gravidade das doenças cardiovasculares, diabetes, câncer e declínio funcional relacionado à idade.;5A00.20 - Hipotireoidismo devido a medicamentos ou outras substâncias exógenas (1x) | BA40.Y - Outra angina pectoris especificada (1x) | 5C80.2 - Hiperlipidemia mista (1x)
